Bezeichnung,Kanton,Jahr,Wert,Bemerkungen,Vergleichbar_Vorjahre,Vergleichbar_AndereKantone
Art. 307.3 Person/Stelle mit Einblick,GE,2022,217,NA,TRUE,TRUE
Art. 307.3 Person/Stelle mit Einblick,GL,2022,0,NA,TRUE,TRUE
Art. 307.3 Person/Stelle mit Einblick,GR,2022,21,NA,TRUE,TRUE
Art. 307.3 Person/Stelle mit Einblick,JU,2022,32,NA,TRUE,TRUE
Art. 307.3 Person/Stelle mit Einblick,LU,2022,33,NA,TRUE,TRUE
Art. 307.3 Person/Stelle mit Einblick,NE,2022,58,NA,TRUE,TRUE
Art. 307.3 Person/Stelle mit Einblick,NW,2022,0,NA,TRUE,TRUE
Art. 307.3 Person/Stelle mit Einblick,OW,2022,4,NA,TRUE,TRUE
Art. 307.3 Person/Stelle mit Einblick,SG,2022,19,NA,TRUE,TRUE
Art. 307.3 Person/Stelle mit Einblick,SH,2022,5,NA,TRUE,TRUE
Art. 307.3 Person/Stelle mit Einblick,SO,2022,48,NA,TRUE,TRUE
Art. 307.3 Person/Stelle mit Einblick,SZ,2022,3,NA,TRUE,TRUE
Art. 307.3 Person/Stelle mit Einblick,TG,2022,21,NA,TRUE,TRUE
Art. 307.3 Person/Stelle mit Einblick,TI,2022,163,"TI: Eigene Erhebung, ohne Mehrfachnennungen",TRUE,FALSE
Art. 307.3 Person/Stelle mit Einblick,UR,2022,2,NA,TRUE,TRUE
Art. 307.3 Person/Stelle mit Einblick,VD,2022,0,NA,TRUE,TRUE
Art. 307.3 Person/Stelle mit Einblick,VS,2022,205,"VS: Von den 19 KESB im Kanton Wallis konnten nur 11 KESB die Daten für das Jahr 2022 liefern. Die Massnahmenzahlen des Kantons – als Total («Kinder») für 2022 wurden anhand der 11 KESB mit Massnahmenzahlen 2022, im Verhältnis zu den Massnahmenzahlen 2021, hochgerechnet.",TRUE,TRUE
Art. 307.3 Person/Stelle mit Einblick,ZG,2022,2,NA,TRUE,TRUE
Art. 307.3 Person/Stelle mit Einblick,ZH,2022,97,NA,TRUE,TRUE
Art. 307.1 geeignete Massnahme,AG,2022,0,NA,TRUE,TRUE
Art. 307.1 geeignete Massnahme,AI,2022,2,NA,TRUE,TRUE
Art. 307.1 geeignete Massnahme,AR,2022,0,NA,TRUE,TRUE
Art. 307.1 geeignete Massnahme,BE,2022,47,NA,TRUE,TRUE
Art. 307.1 geeignete Massnahme,BL,2022,0,NA,TRUE,TRUE
Art. 307.1 geeignete Massnahme,BS,2022,0,NA,TRUE,TRUE
Art. 307.1 geeignete Massnahme,FR,2022,121,NA,TRUE,TRUE
Art. 307.1 geeignete Massnahme,GE,2022,0,NA,TRUE,TRUE
Art. 307.1 geeignete Massnahme,GL,2022,0,NA,TRUE,TRUE
Art. 307.1 geeignete Massnahme,GR,2022,31,NA,TRUE,TRUE
Art. 307.1 geeignete Massnahme,JU,2022,5,NA,TRUE,TRUE
Art. 307.1 geeignete Massnahme,LU,2022,25,NA,TRUE,TRUE
Art. 307.1 geeignete Massnahme,NE,2022,2,NA,TRUE,TRUE
Art. 307.1 geeignete Massnahme,NW,2022,0,NA,TRUE,TRUE
Art. 307.1 geeignete Massnahme,OW,2022,4,NA,TRUE,TRUE
Art. 307.1 geeignete Massnahme,SG,2022,8,NA,TRUE,TRUE
Art. 307.1 geeignete Massnahme,SH,2022,1,NA,TRUE,TRUE
Art. 307.1 geeignete Massnahme,SO,2022,0,NA,TRUE,TRUE
Art. 307.1 geeignete Massnahme,SZ,2022,112,NA,TRUE,TRUE
Art. 307.1 geeignete Massnahme,TG,2022,41,NA,TRUE,TRUE
Art. 307.1 geeignete Massnahme,TI,2022,125,"TI: Eigene Erhebung, ohne Mehrfachnennungen",TRUE,FALSE
Art. 307.1 geeignete Massnahme,UR,2022,2,NA,TRUE,TRUE
Art. 307.1 geeignete Massnahme,VD,2022,0,NA,TRUE,TRUE
Art. 307.1 geeignete Massnahme,VS,2022,23,"VS: Von den 19 KESB im Kanton Wallis konnten nur 11 KESB die Daten für das Jahr 2022 liefern. Die Massnahmenzahlen des Kantons – als Total («Kinder») für 2022 wurden anhand der 11 KESB mit Massnahmenzahlen 2022, im Verhältnis zu den Massnahmenzahlen 2021, hochgerechnet.",TRUE,TRUE
Art. 307.1 geeignete Massnahme,ZG,2022,21,NA,TRUE,TRUE
Art. 307.1 geeignete Massnahme,ZH,2022,429,NA,TRUE,TRUE
Beistandschaften (Art. 308 ZGB),AG,2022,3384,NA,TRUE,TRUE
Beistandschaften (Art. 308 ZGB),AI,2022,66,NA,TRUE,TRUE
Beistandschaften (Art. 308 ZGB),AR,2022,273,NA,TRUE,TRUE
Beistandschaften (Art. 308 ZGB),BE,2022,5954,NA,TRUE,TRUE
Beistandschaften (Art. 308 ZGB),BL,2022,1089,NA,TRUE,TRUE
Beistandschaften (Art. 308 ZGB),BS,2022,822,NA,TRUE,TRUE
Beistandschaften (Art. 308 ZGB),FR,2022,1935,NA,TRUE,TRUE
Beistandschaften (Art. 308 ZGB),GE,2022,2545,NA,TRUE,TRUE
Beistandschaften (Art. 308 ZGB),GL,2022,151,NA,TRUE,TRUE
Beistandschaften (Art. 308 ZGB),GR,2022,488,NA,TRUE,TRUE
Beistandschaften (Art. 308 ZGB),JU,2022,473,NA,TRUE,TRUE
Beistandschaften (Art. 308 ZGB),LU,2022,1751,NA,TRUE,TRUE
Beistandschaften (Art. 308 ZGB),NE,2022,1268,NA,TRUE,TRUE
Beistandschaften (Art. 308 ZGB),NW,2022,111,NA,TRUE,TRUE
Beistandschaften (Art. 308 ZGB),OW,2022,145,NA,TRUE,TRUE
Beistandschaften (Art. 308 ZGB),SG,2022,2545,NA,TRUE,TRUE
Beistandschaften (Art. 308 ZGB),SH,2022,372,NA,TRUE,TRUE
Beistandschaften (Art. 308 ZGB),SO,2022,1421,NA,TRUE,TRUE
Beistandschaften (Art. 308 ZGB),SZ,2022,469,NA,TRUE,TRUE
Beistandschaften (Art. 308 ZGB),TG,2022,1179,NA,TRUE,TRUE
Beistandschaften (Art. 308 ZGB),TI,2022,750,NA,TRUE,TRUE
Beistandschaften (Art. 308 ZGB),UR,2022,53,NA,TRUE,TRUE
Beistandschaften (Art. 308 ZGB),VD,2022,990,NA,TRUE,TRUE
Beistandschaften (Art. 308 ZGB),VS,2022,1002,"VS: Von den 19 KESB im Kanton Wallis konnten nur 11 KESB die Daten für das Jahr 2022 liefern. Die Massnahmenzahlen des Kantons – als Total («Kinder») für 2022 wurden anhand der 11 KESB mit Massnahmenzahlen 2022, im Verhältnis zu den Massnahmenzahlen 2021, hochgerechnet.",TRUE,TRUE
Beistandschaften (Art. 308 ZGB),ZG,2022,278,NA,TRUE,TRUE
Beistandschaften (Art. 308 ZGB),ZH,2022,7170,NA,TRUE,TRUE
Art. 308.1 Beratung,AG,2022,2987,NA,TRUE,TRUE
Art. 308.1 Beratung,AI,2022,57,NA,TRUE,TRUE
Art. 308.1 Beratung,AR,2022,216,NA,TRUE,TRUE
Art. 308.1 Beratung,BE,2022,4916,NA,TRUE,TRUE
Art. 308.1 Beratung,BL,2022,949,NA,TRUE,TRUE
Art. 308.1 Beratung,BS,2022,480,NA,TRUE,TRUE
Art. 308.1 Beratung,FR,2022,1415,NA,TRUE,TRUE
Art. 308.1 Beratung,GE,2022,1348,NA,TRUE,TRUE
Art. 308.1 Beratung,GL,2022,145,NA,TRUE,TRUE
Art. 308.1 Beratung,GR,2022,378,NA,TRUE,TRUE
Art. 308.1 Beratung,JU,2022,343,NA,TRUE,TRUE
Art. 308.1 Beratung,LU,2022,1467,NA,TRUE,TRUE
Art. 308.1 Beratung,NE,2022,832,NA,TRUE,TRUE
Art. 308.1 Beratung,NW,2022,86,NA,TRUE,TRUE
Art. 308.1 Beratung,OW,2022,121,NA,TRUE,TRUE
Art. 308.1 Beratung,SG,2022,2009,NA,TRUE,TRUE
Art. 308.1 Beratung,SH,2022,305,NA,TRUE,TRUE
Art. 308.1 Beratung,SO,2022,1199,NA,TRUE,TRUE
Art. 308.1 Beratung,SZ,2022,412,NA,TRUE,TRUE
Art. 308.1 Beratung,TG,2022,1006,NA,TRUE,TRUE
Art. 308.1 Beratung,TI,2022,336,"TI: Eigene Erhebung, ohne Mehrfachnennungen",TRUE,FALSE
Art. 308.1 Beratung,UR,2022,52,NA,TRUE,TRUE
Art. 308.1 Beratung,VD,2022,700,NA,TRUE,TRUE
Art. 308.1 Beratung,VS,2022,708,"VS: Von den 19 KESB im Kanton Wallis konnten nur 11 KESB die Daten für das Jahr 2022 liefern. Die Massnahmenzahlen des Kantons – als Total («Kinder») für 2022 wurden anhand der 11 KESB mit Massnahmenzahlen 2022, im Verhältnis zu den Massnahmenzahlen 2021, hochgerechnet.",TRUE,TRUE
Art. 308.1 Beratung,ZG,2022,232,NA,TRUE,TRUE
Art. 308.1 Beratung,ZH,2022,5642,NA,TRUE,TRUE
Art. 308.2 Feststellung Vaterschaft,AI,2022,0,NA,TRUE,TRUE
Art. 308.2 Feststellung Vaterschaft,AR,2022,9,NA,TRUE,TRUE
Art. 308.2 Feststellung Vaterschaft,BE,2022,423,NA,TRUE,TRUE
Art. 308.2 Feststellung Vaterschaft,BL,2022,26,NA,TRUE,TRUE
Art. 308.2 Feststellung Vaterschaft,BS,2022,185,NA,TRUE,TRUE
Art. 308.2 Feststellung Vaterschaft,FR,2022,79,NA,TRUE,TRUE
Art. 308.2 Feststellung Vaterschaft,GE,2022,77,NA,TRUE,TRUE
Art. 308.2 Feststellung Vaterschaft,GL,2022,2,NA,TRUE,TRUE
Art. 308.2 Feststellung Vaterschaft,GR,2022,6,NA,TRUE,TRUE
Art. 308.2 Feststellung Vaterschaft,JU,2022,9,NA,TRUE,TRUE
Art. 308.2 Feststellung Vaterschaft,LU,2022,48,NA,TRUE,TRUE
Art. 308.2 Feststellung Vaterschaft,NW,2022,8,NA,TRUE,TRUE
Art. 308.2 Feststellung Vaterschaft,OW,2022,4,NA,TRUE,TRUE
Art. 308.2 Feststellung Vaterschaft,SG,2022,122,NA,TRUE,TRUE
Art. 308.2 Feststellung Vaterschaft,SH,2022,16,NA,TRUE,TRUE
Art. 308.2 Feststellung Vaterschaft,SO,2022,0,NA,TRUE,TRUE
